stable_id,display_name,faction,kind,role,footprint,source_classification,source_sets,silhouette_thesis,identity_anchors,state
building.rock_raiders.power_station,Power Station,RockRaiders,Infrastructure,Energy,Large,COMPOSITE-ADAPTATION,4990,"A compact worksite generator with a legible engine block, exhaust and service access.",large exposed generator block;paired exhaust or cooling stacks;crew-scale service platform,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.vehicle_service_bay,Vehicle Service Bay,RockRaiders,Infrastructure,Light production / repair,Huge,COMPOSITE-ADAPTATION,4990,An open drive-through gantry whose repair arms frame a clearly usable vehicle space.,open vehicle-width service lane;overhead repair gantry;tool and spare-part racks,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.engineering_workshop,Engineering Workshop,RockRaiders,Infrastructure,Heavy production / technology,Huge,COMPOSITE-ADAPTATION,4940;4970;4990,A heavy-machine assembly hall with a tall tool rig and an unobstructed large production exit.,huge machine-width exit;towering drill or lift rig;reinforced asymmetrical frame,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.crystal_vault,Crystal Vault,RockRaiders,Infrastructure,Crystal storage / advanced technology,Large,COMPOSITE-ADAPTATION,4970;4990,A visibly reinforced industrial store wrapped around a luminous but non-emissive crystal chamber.,central protected crystal cage;thick segmented blast frame;small guarded transfer hatch,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.crusher_barrier,Crusher Barrier,RockRaiders,Infrastructure,Anti-ground defense,Small,NEW GAME CONTENT,4950,A low defensive barricade made from loader machinery rather than a conventional gun turret.,ground-hugging reinforced barrier;loader-derived ram or crusher face;side hydraulic braces,FACTION_CONTRACT_DRAFT_HOLD
building.rock_raiders.cutter_mast,Cutter Mast,RockRaiders,Infrastructure,Anti-air defense,Small,NEW GAME CONTENT,4910;4990,A tall survey-and-cutting mast whose tracking head reads as repurposed worksite equipment.,thin industrial mast;scanner-cutter tracking head;tripod service base with work light,FACTION_CONTRACT_DRAFT_HOLD
unit.astronauts.expedition_crew,Expedition Crew,Astronauts,Unit,Worker / builder,Tiny,COMPOSITE-ADAPTATION,7301;7690,A mission crew member whose field pack and modular tool identify an expedition worker rather than infantry.,sealed astronaut helmet;standardized modular field pack;interchangeable engineering tool,IDENTITY_BASELINE_HOLD
unit.astronauts.rover,Rover,Astronauts,Unit,Scout,Small,OFFICIAL-DIRECT,7301,A tiny exposed field rover with two dominant wheels and a narrow forward sensor bar.,two-wheel bike-like profile;open rider position;front sensor and sample rack,IDENTITY_BASELINE_HOLD
unit.astronauts.t3_trike,T3-Trike,Astronauts,Unit,Escort / survey,Medium,OFFICIAL-ADAPTED,7312;7694,"A rough-terrain trike defined by one leading wheel, two broad rear wheels and a modular centre bay.",one-front two-rear wheel triangle;high articulated suspension;replaceable centre mission module,IDENTITY_BASELINE_HOLD
unit.astronauts.mono_jet,Mono Jet,Astronauts,Unit,Light air scout / harassment,Small,OFFICIAL-DIRECT,7310,A compact one-person field aircraft built around a single narrow jet body and exposed control frame.,single slim fuselage;open cockpit;short improvised field wings,IDENTITY_BASELINE_HOLD
unit.astronauts.solar_explorer,Solar Explorer,Astronauts,Unit,Forward service / refit,Large,OFFICIAL-ADAPTED,7315,A long modular field convoy visually bookended by broad solar panels and separable service sections.,large paired solar wings;long multi-module chassis;visible detachable service module,IDENTITY_BASELINE_HOLD
unit.astronauts.mission_fighter,Mission Fighter,Astronauts,Unit,Air superiority,Small,COMPOSITE-ADAPTATION,5619;7695,A clean white-orange interceptor with a compact cockpit and unmistakable swept mission wings.,sharp swept wing pair;small central blue canopy;white-orange nose and engine split,IDENTITY_BASELINE_HOLD
unit.astronauts.mx41_switch_fighter,MX-41 Switch Fighter,Astronauts,Unit,Ground / air transformer,Medium,OFFICIAL-ADAPTED,7647,A six-wheel surface machine whose side frames visibly fold into a pointed flight configuration.,six-wheel ground stance;large folding wing-side assemblies;central white-orange rocket nose,IDENTITY_BASELINE_HOLD
unit.astronauts.mobile_mining_platform,Mobile Mining Platform,Astronauts,Unit,Adaptive resource extraction,Large,COMPOSITE-ADAPTATION,7645;7648;7693,A modular mining platform whose harvesting head and detachable processing bay dominate a noncombat chassis.,wide harvesting or drill head;detachable processing module;visible crystal or ore handling path,IDENTITY_BASELINE_HOLD
unit.astronauts.mx71_recon_dropship,MX-71 Recon Dropship,Astronauts,Unit,Air transport,Large,OFFICIAL-ADAPTED,7692,A high-wing white-orange dropship with a clearly readable underslung rover cradle.,broad high-mounted wings;open underslung cargo cradle;forward blue canopy and twin engine masses,IDENTITY_BASELINE_HOLD
unit.astronauts.mt51_claw_tank,MT-51 Claw-Tank,Astronauts,Unit,Frontline anti-light / medium,Large,OFFICIAL-ADAPTED,7697,A tracked mission vehicle with a rotating upper body and a huge articulated claw opposite its weapon arm.,paired track blocks;rotating central cockpit;asymmetric claw and tool arms,IDENTITY_BASELINE_HOLD
unit.astronauts.mt101_armored_drilling_unit,MT-101 Armored Drilling Unit,Astronauts,Unit,Heavy anti-heavy assault,Large,OFFICIAL-ADAPTED,7699,A long six-wheel armored drill carrier whose suspended chassis frames a massive central nose tool.,six large suspended wheels;central armored drill nose;long white-orange equipment deck,IDENTITY_BASELINE_HOLD
unit.astronauts.mt201_ultra_drill_walker,MT-201 Ultra-Drill Walker,Astronauts,Unit,Deployed siege,Huge,OFFICIAL-ADAPTED,7649,A colossal drill installation that opens into a planted four-legged siege walker.,enormous vertical drill tower;four deployable stabilizer legs;detachable observation craft,IDENTITY_BASELINE_HOLD
unit.astronauts.mx81_operations_aircraft,MX-81 Hypersonic Operations Aircraft,Astronauts,Unit,Strategic scan / support,Huge,OFFICIAL-ADAPTED,7644,A huge multi-module operations aircraft with a long command spine and visibly separable mission sections.,very wide hypersonic wing plan;long modular command spine;multiple detachable mission pods,IDENTITY_BASELINE_HOLD
building.ast.mb01_eagle_command_base,MB-01 Eagle Command Base,Astronauts,Infrastructure,Command / expansion,Huge,OFFICIAL-ADAPTED,7690,A modular white-orange command complex with a tall central tower and readable shuttle/transfer machinery.,tall mission-control tower;pneumatic transfer spine;open shuttle and service pads,IDENTITY_BASELINE_HOLD
building.ast.field_systems_garage,Field Systems Garage,Astronauts,Infrastructure,Field production,Huge,COMPOSITE-ADAPTATION,7301;7312;7315,A rugged open garage sized around unconventional Life on Mars wheels and swappable field modules.,wide low field-vehicle door;external module racks;exposed blue-gray service frame,IDENTITY_BASELINE_HOLD
building.ast.mission_vehicle_bay,Mission Vehicle Bay,Astronauts,Infrastructure,Mission ground production,Huge,COMPOSITE-ADAPTATION,7645;7647;7697;7699,A clean white-orange assembly bay with a huge central exit and standardized mission-module rails.,huge unobstructed vehicle exit;paired modular assembly rails;white-orange overhead gantry,IDENTITY_BASELINE_HOLD
building.ast.flight_operations_pad,Flight Operations Pad,Astronauts,Infrastructure,Aircraft production,Huge,COMPOSITE-ADAPTATION,5619;7644;7692;7695,"A low aerospace pad whose launch direction, service arms and flight-control beacon read from above.",broad directional landing deck;retractable service arms;compact flight-control beacon,IDENTITY_BASELINE_HOLD
building.ast.service_refit_hub,Service & Refit Hub,Astronauts,Infrastructure,Technology / refit,Huge,COMPOSITE-ADAPTATION,7315;7690,A modular service ring where Field and Mission machines visibly dock to standardized interfaces.,central refit turntable;contrasting Field and Mission docking arms;visible replacement-module racks,IDENTITY_BASELINE_HOLD
building.ast.solar_energy_array,Solar Energy Array,Astronauts,Infrastructure,Energy,Large,OFFICIAL-ADAPTED,7315,A broad low array of unmistakable Solar Explorer panels on an articulated field base.,paired wide solar wings;tilting support hinges;small rugged control module,IDENTITY_BASELINE_HOLD
building.ast.frontier_extraction_station,Frontier Extraction Station,Astronauts,Infrastructure,Resource processing,Large,COMPOSITE-ADAPTATION,7691;7648,A compact expedition station that visibly receives drilled material and transfers it into sealed mission containers.,drill-facing receiving hopper;sealed crystal or ore container rack;small pneumatic transfer mast,IDENTITY_BASELINE_HOLD
building.ast.modular_sentinel_defense,Modular Sentinel Defense,Astronauts,Infrastructure,Configurable ground / air defense,Small,NEW GAME CONTENT,7690;7695,A clean modular defense pedestal whose replaceable head clearly changes ground-versus-air purpose.,standard mission attachment pedestal;swappable sensor-weapon head;deployed stabilizer feet,IDENTITY_BASELINE_HOLD
unit.aliens.etx_servitor,ETX Servitor,Aliens,Unit,Worker / builder,Tiny,NEW GAME CONTENT,5617;7646;7691,"A tiny black-lime hover worker wrapped around one crystal-handling manipulator, not a humanoid robot.",low curved hover shell;single crystal cradle;folding utility manipulator,IDENTITY_BASELINE_HOLD
unit.aliens.alien_jet,Alien Jet,Aliens,Unit,Air scout / interceptor,Small,OFFICIAL-DIRECT,5617,A tiny open black-lime interceptor with a swept plate body and two bright arches above its pilot.,broad swept plate body;exposed central alien pilot;paired tall lime conduit arches,IDENTITY_BASELINE_HOLD
unit.aliens.razor_skimmer,Razor Skimmer,Aliens,Unit,Ground-hover harassment,Small,COMPOSITE-ADAPTATION,7645;7692;7697,A ground-hugging black-lime blade craft with a forward crystal core and almost no vertical body.,very low swept planform;twin forward razor prongs;central exposed lime energy core,IDENTITY_BASELINE_HOLD
unit.aliens.etx_alien_strike,ETX Alien Strike,Aliens,Unit,Air / deployed siege,Medium,OFFICIAL-ADAPTED,7693,A curved attack craft whose wing halves unfold into a planted siege frame around the central core.,split curved wing shell;central crystal-cockpit mass;visible deployed ground braces,IDENTITY_BASELINE_HOLD
unit.aliens.etx_alien_infiltrator,ETX Alien Infiltrator,Aliens,Unit,Craft / anti-heavy walker,Medium,OFFICIAL-ADAPTED,7646,A long three-part alien craft that rotates its nose and curved side modules into a tall three-legged walker.,long split central nose;paired curved side modules;three planted members in walker state,IDENTITY_BASELINE_HOLD
unit.aliens.alien_mothership,Alien Mothership,Aliens,Unit,Strategic carrier / support,Huge,OFFICIAL-ADAPTED,7691,A vast flattened circular black-lime carrier broken by an open machinery channel and visibly docked independent craft.,huge interrupted circular carrier hull;open lime-conduit front-craft channel;two seated side craft plus two disc jetpack modules,IDENTITY_BASELINE_HOLD
building.ali.etx_command_core,ETX Command Core,Aliens,Infrastructure,Command / expansion,Huge,NEW GAME CONTENT,7691;7646,A grounded mothership segment unfolded into a broad command cradle around a protected resonance core.,docked-craft radial footprint;raised central crystal core;open transformation-seam entrances,IDENTITY_BASELINE_HOLD
building.ali.resonance_core,Resonance Core,Aliens,Infrastructure,Crystal Charge,Small,NEW GAME CONTENT,7691;7646,A compact faceted crystal mechanism visibly clamped by three or four black alien arms.,dominant exposed lime crystal;radial black restraint claws;concentric charge-ring mechanism,IDENTITY_BASELINE_HOLD
building.ali.etx_fabricator,ETX Fabricator,Aliens,Infrastructure,Light production,Large,NEW GAME CONTENT,7691;7690,A low docked alien hull that assembles small craft along an open forward launch channel.,curved docked-hull shell;open forward fabrication channel;overhead crystal feed arms,IDENTITY_BASELINE_HOLD
building.ali.reconfiguration_dock,Reconfiguration Dock,Aliens,Infrastructure,Advanced production / transformation,Huge,NEW GAME CONTENT,7646;7693;7691,A huge split-shell dock whose articulated halves hold transforming craft clear of the ground.,paired tall folding dock shells;central suspended transformation cradle;multiple exposed hinge arcs,IDENTITY_BASELINE_HOLD
building.ali.power_coupler,Power Coupler,Aliens,Infrastructure,Energy,Small,NEW GAME CONTENT,7691;7646,A small grounded energy node with two opposed curved couplers focusing on a central lime conductor.,paired opposing black arcs;thin central lime conductor;low three-point landing base,IDENTITY_BASELINE_HOLD
building.ali.etx_defense_node,ETX Defense Node,Aliens,Infrastructure,Reconfigurable defense,Small,NEW GAME CONTENT,5617;7692;7697,A landed alien attack craft that visibly pivots between low ground-fire and raised air-intercept postures.,landed swept craft silhouette;hinged central hardpoint;bright directional charge channel,IDENTITY_BASELINE_HOLD
unit.martians.worker_robot,Worker Robot,Martians,Unit,Worker / builder,Tiny,OFFICIAL-ADAPTED,7302,A tiny open Martian biped whose shallow operator wedge rides between two long articulated legs and broad feet.,shallow central operator wedge;two mirrored multi-joint legs;two broad rectangular feet,IDENTITY_BASELINE_HOLD
unit.martians.double_hover,Double Hover,Martians,Unit,Scout,Small,OFFICIAL-DIRECT,7300,"A tiny open scout on two long parallel forward runners, balanced by unlike rear equipment modules around its rider.",paired long forward runners;central exposed rider;one round rear hover mass beside one block,IDENTITY_BASELINE_HOLD
unit.martians.jet_scooter,Jet Scooter,Martians,Unit,Ground-hover harassment,Small,OFFICIAL-DIRECT,7303,A long narrow open sled whose paired side tubes and clustered orange nose nozzles frame the rider spine.,long thin central deck;paired exposed side tubes;clustered orange forward nozzles,IDENTITY_BASELINE_HOLD
unit.martians.aero_skiff,Aero Skiff,Martians,Unit,Light air transport,Small,COMPOSITE-ADAPTATION,1195;7317,A light open flying platform carrying one passenger above a visible pneumatic or hover mechanism.,open asymmetric skiff deck;underslung lift mechanism;single passenger or cargo perch,IDENTITY_BASELINE_HOLD
unit.martians.red_planet_cruiser,Red Planet Cruiser,Martians,Unit,Frontline combat,Medium,OFFICIAL-ADAPTED,7311,"A low broad irregular cruiser with flat offset platforms, an exposed central operator and a separate tall docking pedestal.",broad offset platform plan;open central operator and equipment;long side probes plus underslung pedestal,IDENTITY_BASELINE_HOLD
unit.martians.recon_mech_rp,Recon-Mech RP,Martians,Unit,Detection / anti-air walker,Medium,OFFICIAL-ADAPTED,7314,"A tall biped carrying a broad aircraft-like cockpit body, asymmetric drill-and-claw arms and a rear pressure tank.",broad detachable upper craft;asymmetric long drill and claw arms;paired legs and tall rear pressure tank,IDENTITY_BASELINE_HOLD
unit.martians.red_planet_protector,Red Planet Protector,Martians,Unit,Positional anti-heavy control,Large,OFFICIAL-ADAPTED,7313,"A modular tall biped assembled from a broad wedge craft, twin-foot lower body and two long detachable emitter arms.",broad wedge upper craft;separate twin-foot biped base;paired long detachable emitter arms,IDENTITY_BASELINE_HOLD
unit.martians.excavation_searcher,Excavation Searcher,Martians,Unit,Siege / manipulation walker,Huge,OFFICIAL-ADAPTED,7316,A gigantic many-legged excavation machine carrying an unmistakable crane-claw and material-handling body.,multi-legged planted base;large articulated crane-claw;high irregular processing superstructure,IDENTITY_BASELINE_HOLD
building.mar.aero_tube_hangar,Aero Tube Hangar,Martians,Infrastructure,Command / major station,Huge,OFFICIAL-ADAPTED,7317,"A sprawling active Martian station organized around transparent pneumatic tubes, pumps and docking towers.",large transparent tube network;tall pump and docking towers;visible hypersled handling platforms,IDENTITY_BASELINE_HOLD
building.mar.settlement_station,Settlement Station,Martians,Infrastructure,Expansion / network node,Huge,COMPOSITE-ADAPTATION,7317,"An expanded open network node assembled around a raised four-leg control platform, one dominant Tube junction and exposed sockets.",raised four-leg control platform;central Tube junction;multiple visible network sockets,IDENTITY_BASELINE_HOLD
building.mar.mechanical_workshop,Mechanical Workshop,Martians,Infrastructure,Production / support,Huge,COMPOSITE-ADAPTATION,7313;7314;7316,An open walker workshop whose overhead manipulators surround a leg-width assembly floor.,open walker-scale work floor;multiple articulated overhead arms;irregular parts and leg racks,IDENTITY_BASELINE_HOLD
building.mar.pressure_generator,Pressure Generator,Martians,Infrastructure,Energy / pneumatic pressure,Small,OFFICIAL-ADAPTED,7317,A compact three-tier pressure drum whose exposed lower machinery connects directly to the Aero Tube network.,stacked three-chamber black drum;exposed lower pressure machinery;direct Tube coupling,IDENTITY_BASELINE_HOLD
building.mar.routing_laboratory,Routing Laboratory,Martians,Infrastructure,Technology / network support,Large,COMPOSITE-ADAPTATION,7317,A tall eccentric control stack wrapped around a multi-way physical Tube switching mechanism.,multi-way Tube switch;high open control platform;rotating route indicator,IDENTITY_BASELINE_HOLD
building.mar.excavation_plant,Excavation Plant,Martians,Infrastructure,Resource processing,Large,COMPOSITE-ADAPTATION,7316,A planted Searcher-derived processing machine with a crane intake and visible rock-transfer path.,large crane-claw intake;raised processing hopper;outbound sled or Tube transfer point,IDENTITY_BASELINE_HOLD
building.mar.deflector_arm,Deflector Arm,Martians,Infrastructure,Anti-ground displacement,Small,NEW GAME CONTENT,7313;7316,"A single huge articulated mechanical arm on a compact planted base, built to push rather than shoot.",one dominant long arm;broad pushing paddle;low multi-foot stabilizer base,IDENTITY_BASELINE_HOLD
building.mar.aero_guard_tower,Aero Guard Tower,Martians,Infrastructure,Anti-air defense,Small,NEW GAME CONTENT,7314;7317,A tall Recon-Mech-derived sensor tower with mechanically tracking arms above a Tube-connected base.,very tall open sensor mast;paired tracking arms;visible Tube-linked lower platform,IDENTITY_BASELINE_HOLD
building.mar.aero_tube_link,Aero Tube Link,Martians,Infrastructure,Network connection,Tiny,OFFICIAL-ADAPTED,7317;3750,"A low transparent Tube span with readable couplers and a moving hypersled path, not a solid wall.",continuous transparent tube;distinct end couplers;visible internal sled corridor,IDENTITY_BASELINE_HOLD
